## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/aligned_bam_files/C013_S13.sorted.bam] OUTPUT=/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/duplicates_marked/C013_S13.sorted_dedup.bam METRICS_FILE=/var/scratch/global/emurungi/variant_calling/entire_genome/hg19/duplicates_marked/C013_S13.sorted_metrics.txt VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Oct 08 20:40:18 EAT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
C013_S13	123	594526	20336	511	92	444570	1782	0.747772	153149

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000245
2.0	1.020859
3.0	1.021284
4.0	1.021293
5.0	1.021293
6.0	1.021293
7.0	1.021293
8.0	1.021293
9.0	1.021293
10.0	1.021293
11.0	1.021293
12.0	1.021293
13.0	1.021293
14.0	1.021293
15.0	1.021293
16.0	1.021293
17.0	1.021293
18.0	1.021293
19.0	1.021293
20.0	1.021293
21.0	1.021293
22.0	1.021293
23.0	1.021293
24.0	1.021293
25.0	1.021293
26.0	1.021293
27.0	1.021293
28.0	1.021293
29.0	1.021293
30.0	1.021293
31.0	1.021293
32.0	1.021293
33.0	1.021293
34.0	1.021293
35.0	1.021293
36.0	1.021293
37.0	1.021293
38.0	1.021293
39.0	1.021293
40.0	1.021293
41.0	1.021293
42.0	1.021293
43.0	1.021293
44.0	1.021293
45.0	1.021293
46.0	1.021293
47.0	1.021293
48.0	1.021293
49.0	1.021293
50.0	1.021293
51.0	1.021293
52.0	1.021293
53.0	1.021293
54.0	1.021293
55.0	1.021293
56.0	1.021293
57.0	1.021293
58.0	1.021293
59.0	1.021293
60.0	1.021293
61.0	1.021293
62.0	1.021293
63.0	1.021293
64.0	1.021293
65.0	1.021293
66.0	1.021293
67.0	1.021293
68.0	1.021293
69.0	1.021293
70.0	1.021293
71.0	1.021293
72.0	1.021293
73.0	1.021293
74.0	1.021293
75.0	1.021293
76.0	1.021293
77.0	1.021293
78.0	1.021293
79.0	1.021293
80.0	1.021293
81.0	1.021293
82.0	1.021293
83.0	1.021293
84.0	1.021293
85.0	1.021293
86.0	1.021293
87.0	1.021293
88.0	1.021293
89.0	1.021293
90.0	1.021293
91.0	1.021293
92.0	1.021293
93.0	1.021293
94.0	1.021293
95.0	1.021293
96.0	1.021293
97.0	1.021293
98.0	1.021293
99.0	1.021293
100.0	1.021293

