	Library	Unpaired_Reads	Read_Pairs	Unmapped_Reads	Read_Pair_Duplicates	Percent_Duplication	Estimated_Library_Size
2	C001_S1	26	133805	118	128035	0.956882	5770
105	C002_S2	13	120248	49	116796	0.97129	3452
208	C003_S3	9	100022	39	97212	0.971902	2810
311	C004_S4	33	143328	87	139417	0.972716	3911
414	C005_S5	21	99100	67	96467	0.973434	2633
517	C006_S6	18	93193	304	84062	0.902003	9131
620	C007_S7	31	168042	91	164092	0.976496	3950
723	C008_S8	16	120972	50	118082	0.976112	2890
826	C009_S9	266	1571005	624	1551260	0.987432	19745
929	C010_S10	25	121325	55	118470	0.976471	2855
1032	C011_S11	14	96040	50	93241	0.970858	2799
1135	C012_S12	19	123739	1045	98757	0.79809	25166
1238	C013_S13	123	594526	511	444570	0.747772	153149
1341	C014_S14	22	122248	80	118463	0.969033	3785
1444	C016_S15	23	135262	105	132846	0.98214	2416
1547	C017_S16	17	116923	77	113320	0.969187	3603
1650	C018_S17	26	138463	70	134936	0.974526	3527
1753	C020_S18	58	282232	122	275664	0.976729	6568
1856	C021_S19	27	147335	77	142736	0.968788	4599
1959	C022_S20	27	151442	77	147953	0.97696	3489
2062	C023_S21	18	158306	56	154053	0.973133	4253
2165	C026_S22	30	125343	86	121153	0.966576	4190
2268	C027_S23	14	87569	34	84596	0.966052	2973
2371	C028_S24	17	79684	51	77017	0.966534	2667
2474	C029_S25	17	143834	49	139911	0.972724	3923
2577	C030_S26	26	119494	114	116089	0.971504	3405
2680	C031_S27	15	127974	51	124251	0.97091	3723
2783	C032_S28	29	119735	83	116579	0.973641	3156
2886	C033_S29	39	229001	97	224054	0.978397	4947
2989	C034_S30	28	120532	70	117829	0.977577	2703
3092	C035_S31	23	137962	79	134360	0.97389	3602
3195	C036_S32	10	136276	44	132535	0.972546	3741
3298	C037_S33	19	125927	105	122978	0.976579	2949
3401	C038_S34	16	96039	66	93068	0.969067	2971
3504	C039_S35	30	126322	84	122426	0.969162	3896
3607	C040_S36	26	143248	74	139530	0.974044	3718
3710	C041_S37	42	246512	128	241037	0.977792	5475
3813	C042_S38	19	148741	71	144407	0.970864	4334
3916	C043_S39	13	90887	71	87962	0.967819	2925
4019	C044_S40	8	79954	18	77768	0.972661	2186
4122	C045_S41	18	93486	82	61140	0.653992	34695
4225	C046_S42	18	128133	56	124669	0.97296	3464
4328	C047_S43	28	149983	76	146199	0.974769	3784
4431	C048_S44	28	162009	106	158089	0.975806	3920
4534	C049_S45	1	5297	3	5015	0.946767	282
4637	C050_S46	19	112517	107	108616	0.965333	3901
4740	C051_S47	16	126778	56	123580	0.974776	3198
4843	C052_S48	19	105806	89	103190	0.975278	2616
4946	C053_S49	56	210703	142	205158	0.973682	5545
5049	C054_S50	18	119190	50	115558	0.969522	3632
5152	C055_S51	26	130030	198	124624	0.958418	5406
5255	C056_S52	12	101462	32	98503	0.970838	2959
5358	C057_S53	37	182789	303	177540	0.971281	5249
5461	C058_S54	28	122556	70	119255	0.973064	3301
5564	C059_S55	23	136292	53	132710	0.97372	3582
5667	C060_S56	21	143441	85	139686	0.97382	3755
5770	C061_S57	20	86733	46	83696	0.964971	3037
5873	C062_S58	9	63375	31	61231	0.966172	2144
5976	C063_S59	4	31157	30	29994	0.962675	1163
6079	C064_S60	25	97523	211	89793	0.920726	7730
6182	C066_S61	18	133400	42	129733	0.972513	3667
6285	C067_S62	30	119618	68	115972	0.969515	3646
6388	C068_S63	28	164724	78	160525	0.974502	4199
6491	C069_S64	15	103094	39	100116	0.971116	2978
6594	C070_S65	14	98668	58	95182	0.964672	3486
6697	C071_S66	18	118702	54	115233	0.970774	3469
6800	C072_S67	22	148227	64	143947	0.971128	4280
6903	C073_S68	6	345	106	136	0.396552	312
7006	C074_S69	39	149771	93	145785	0.973386	3986
7109	C075_S70	21	105466	61	102553	0.972382	2913
